"game_date","game","player_id","player_name","team_abbreviation","shot_type","shot_player","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA","layup","Lexie Brown layup",2026-05-08 16:44:49.105987,"fd",0.0278,3500,0.0042,0.0022,0.2184,0.032,3023,0.325970149253731
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA","other","Lexie Brown other",2026-05-08 16:44:49.105987,"fd",0.0244,4000,0.003,0.0015,0.1545,0.0274,3549,0.230597014925373
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV","layup","Gabby Williams layup",2026-05-08 16:44:49.105987,"fd",0.0476,2000,-0.0168,-0.0088,-0.8819,0.0308,3145,-1.31626865671642
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV","other","Gabby Williams other",2026-05-08 16:44:49.105987,"fd",0.0294,3300,-0.0028,-0.0014,-0.1445,0.0266,3658,-0.215671641791045
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA","layup","Natisha Hiedeman layup",2026-05-08 16:44:49.105987,"fd",0.05,1900,0.0046,0.0024,0.2395,0.0546,1733,0.357462686567164
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA","other","Natisha Hiedeman other",2026-05-08 16:44:49.105987,"fd",0.0278,3500,0.0146,0.0075,0.7521,0.0424,2258,1.12253731343284
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV","layup","Veronica Burton layup",2026-05-08 16:44:49.105987,"fd",0.0556,1700,-0.0163,-0.0086,-0.8606,0.0393,2444,-1.2844776119403
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV","other","Veronica Burton other",2026-05-08 16:44:49.105987,"fd",0.0196,5000,0.0077,0.0039,0.3907,0.0273,3567,0.583134328358209
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV","layup","Janelle Salaun layup",2026-05-08 16:44:49.105987,"fd",0.0294,3300,-0.0091,-0.0047,-0.4688,0.0203,4823,-0.699701492537313
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV","other","Janelle Salaun other",2026-05-08 16:44:49.105987,"fd",0.0357,2700,-0.0186,-0.0096,-0.9643,0.0171,5742,-1.43925373134328
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA","layup","Dominique Malonga layup",2026-05-08 16:44:49.105987,"fd",0.1053,850,-0.0443,-0.0248,-2.4767,0.0609,1541,-3.6965671641791
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA","other","Dominique Malonga other",2026-05-08 16:44:49.105987,"fd",0.0909,1000,-0.0481,-0.0264,-2.6442,0.0428,2235,-3.9465671641791
2026-05-08,"GSV @ SEA","1643428","Flau'jae Johnson","SEA","layup","Flau'jae Johnson layup",2026-05-08 16:44:49.105987,"fd",0.0556,1700,-0.0261,-0.0138,-1.3813,0.0295,3294,-2.06164179104478
2026-05-08,"GSV @ SEA","1643428","Flau'jae Johnson","SEA","other","Flau'jae Johnson other",2026-05-08 16:44:49.105987,"fd",0.0385,2500,-0.0126,-0.0065,-0.6543,0.0259,3764,-0.976567164179104
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA","layup","Stefanie Dolson layup",2026-05-08 16:44:49.105987,"fd",0.0435,2200,-0.0094,-0.0049,-0.4899,0.0341,2832,-0.731194029850746
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA","other","Stefanie Dolson other",2026-05-08 16:44:49.105987,"fd",0.0435,2200,-0.013,-0.0068,-0.6815,0.0304,3185,-1.01716417910448
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV","layup","Kayla Thornton layup",2026-05-08 16:44:49.105987,"fd",0.0588,1600,-0.02,-0.0106,-1.0628,0.0388,2476,-1.58626865671642
