"game_date","game","player_id","player_name","team_abbreviation","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"WAS @ TOR","1628279","Brittney Sykes","TOR",2026-05-08 15:46:44.877917,"csr",0.1053,850,0.0227,0.0127,1.2683,0.128,682,1.07483050847458
2026-05-08,"WAS @ TOR","1628279","Brittney Sykes","TOR",2026-05-08 15:46:44.877917,"dk",0.1,900,0.028,0.0155,1.5532,0.128,682,1.31627118644068
2026-05-08,"WAS @ TOR","1628279","Brittney Sykes","TOR",2026-05-08 15:46:44.877917,"fd",0.1,900,0.028,0.0155,1.5532,0.128,682,1.31627118644068
2026-05-08,"WAS @ TOR","1627701","Temi Fagbenle","TOR",2026-05-08 15:46:44.877917,"br",0.1667,500,-0.0982,-0.0589,-5.89,0.0685,1360,-4.99152542372881
2026-05-08,"WAS @ TOR","1627701","Temi Fagbenle","TOR",2026-05-08 15:46:44.877917,"csr",0.1739,475,-0.1089,-0.0659,-6.5923,0.065,1439,-5.58669491525424
2026-05-08,"WAS @ TOR","1627701","Temi Fagbenle","TOR",2026-05-08 15:46:44.877917,"dk",0.1667,500,-0.1017,-0.061,-6.1002,0.065,1439,-5.16966101694915
2026-05-08,"WAS @ TOR","1627701","Temi Fagbenle","TOR",2026-05-08 15:46:44.877917,"fd",0.1667,500,-0.1017,-0.061,-6.1002,0.065,1439,-5.16966101694915
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR",2026-05-08 15:46:44.877917,"br",0.1111,800,0.0056,0.0032,0.3176,0.1168,756,0.269152542372881
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR",2026-05-08 15:46:44.877917,"csr",0.1176,750,-0.0037,-0.0021,-0.2102,0.1139,778,-0.178135593220339
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR",2026-05-08 15:46:44.877917,"dk",0.1176,750,-0.0037,-0.0021,-0.2102,0.1139,778,-0.178135593220339
2026-05-08,"WAS @ TOR","1631055","Nyara Sabally","TOR",2026-05-08 15:46:44.877917,"fd",0.1176,750,-0.0037,-0.0021,-0.2102,0.1139,778,-0.178135593220339
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV",2026-05-08 15:46:44.877917,"br",0.1,900,-0.0036,-0.002,-0.2005,0.0964,937,-0.169915254237288
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV",2026-05-08 15:46:44.877917,"csr",0.1176,750,-0.0183,-0.0104,-1.0368,0.0994,907,-0.87864406779661
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV",2026-05-08 15:46:44.877917,"dk",0.1111,800,-0.0118,-0.0066,-0.6615,0.0994,907,-0.560593220338983
2026-05-08,"GSV @ SEA","1631007","Veronica Burton","GSV",2026-05-08 15:46:44.877917,"fd",0.1053,850,-0.0059,-0.0033,-0.3304,0.0994,907,-0.28
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV",2026-05-08 15:46:44.877917,"br",0.1429,600,-0.0279,-0.0163,-1.6263,0.115,770,-1.37822033898305
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV",2026-05-08 15:46:44.877917,"csr",0.1429,600,-0.0247,-0.0144,-1.4384,0.1182,746,-1.21898305084746
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV",2026-05-08 15:46:44.877917,"dk",0.1333,650,-0.0151,-0.0087,-0.8731,0.1182,746,-0.739915254237288
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV",2026-05-08 15:46:44.877917,"fd",0.1538,550,-0.0356,-0.0211,-2.1064,0.1182,746,-1.78508474576271
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV",2026-05-08 15:46:44.877917,"br",0.0909,1000,-0.0044,-0.0024,-0.2393,0.0866,1055,-0.202796610169492
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV",2026-05-08 15:46:44.877917,"csr",0.1,900,-0.0156,-0.0086,-0.8643,0.0844,1084,-0.732457627118644
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV",2026-05-08 15:46:44.877917,"dk",0.1,900,-0.0156,-0.0086,-0.8643,0.0844,1084,-0.732457627118644
2026-05-08,"GSV @ SEA","1628931","Gabby Williams","GSV",2026-05-08 15:46:44.877917,"fd",0.0909,1000,-0.0065,-0.0036,-0.3556,0.0844,1084,-0.30135593220339
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV",2026-05-08 15:46:44.877917,"br",0.1111,800,-0.0589,-0.0332,-3.3151,0.0522,1817,-2.80940677966102
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV",2026-05-08 15:46:44.877917,"csr",0.1053,850,-0.0583,-0.0326,-3.2563,0.047,2028,-2.75957627118644
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV",2026-05-08 15:46:44.877917,"dk",0.1,900,-0.053,-0.0294,-2.9449,0.047,2028,-2.4956779661017
2026-05-08,"GSV @ SEA","1642767","Janelle Salaun","GSV",2026-05-08 15:46:44.877917,"fd",0.1,900,-0.053,-0.0294,-2.9449,0.047,2028,-2.4956779661017
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA",2026-05-08 15:46:44.877917,"br",0.0769,1200,0.0241,0.0131,1.3052,0.101,890,1.10610169491525
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA",2026-05-08 15:46:44.877917,"csr",0.0909,1000,0.0116,0.0064,0.6401,0.1025,875,0.542457627118644
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA",2026-05-08 15:46:44.877917,"dk",0.0833,1100,0.0192,0.0105,1.048,0.1025,875,0.888135593220339
2026-05-08,"GSV @ SEA","1628882","Lexie Brown","SEA",2026-05-08 15:46:44.877917,"fd",0.0833,1100,0.0192,0.0105,1.048,0.1025,875,0.888135593220339
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA",2026-05-08 15:46:44.877917,"br",0.125,700,0.0058,0.0033,0.3315,0.1308,665,0.280932203389831
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA",2026-05-08 15:46:44.877917,"csr",0.1379,625,0.0025,0.0014,0.1426,0.1404,612,0.120847457627119
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA",2026-05-08 15:46:44.877917,"dk",0.1333,650,0.0071,0.0041,0.4071,0.1404,612,0.345
2026-05-08,"GSV @ SEA","1629567","Natisha Hiedeman","SEA",2026-05-08 15:46:44.877917,"fd",0.1333,650,0.0071,0.0041,0.4071,0.1404,612,0.345
2026-05-08,"GSV @ SEA","1643428","Flau'jae Johnson","SEA",2026-05-08 15:46:44.877917,"br",0.125,700,-0.052,-0.0297,-2.9695,0.073,1269,-2.51652542372881
2026-05-08,"GSV @ SEA","1643428","Flau'jae Johnson","SEA",2026-05-08 15:46:44.877917,"dk",0.125,700,-0.0561,-0.0321,-3.2065,0.0689,1352,-2.71737288135593
2026-05-08,"GSV @ SEA","1643428","Flau'jae Johnson","SEA",2026-05-08 15:46:44.877917,"fd",0.1176,750,-0.0488,-0.0276,-2.7631,0.0689,1352,-2.34161016949153
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA",2026-05-08 15:46:44.877917,"br",0.2,400,-0.0601,-0.0376,-3.7561,0.1399,615,-3.18313559322034
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA",2026-05-08 15:46:44.877917,"csr",0.2083,380,-0.0718,-0.0454,-4.5367,0.1365,633,-3.84466101694915
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA",2026-05-08 15:46:44.877917,"dk",0.2,400,-0.0635,-0.0397,-3.9686,0.1365,633,-3.36322033898305
2026-05-08,"GSV @ SEA","1642798","Dominique Malonga","SEA",2026-05-08 15:46:44.877917,"fd",0.2,400,-0.0635,-0.0397,-3.9686,0.1365,633,-3.36322033898305
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA",2026-05-08 15:46:44.877917,"br",0.1111,800,-0.0086,-0.0049,-0.4851,0.1025,876,-0.411101694915254
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA",2026-05-08 15:46:44.877917,"csr",0.1176,750,-0.0168,-0.0095,-0.9515,0.1009,892,-0.80635593220339
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA",2026-05-08 15:46:44.877917,"dk",0.1053,850,-0.0044,-0.0025,-0.2463,0.1009,892,-0.208728813559322
2026-05-08,"GSV @ SEA","203828","Stefanie Dolson","SEA",2026-05-08 15:46:44.877917,"fd",0.1176,750,-0.0168,-0.0095,-0.9515,0.1009,892,-0.80635593220339
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 16:44:49.005583,"br",0.1,900,-0.0125,-0.0069,-0.6949,0.0875,1043,-0.588898305084746
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 16:44:49.005583,"csr",0.0952,950,-0.0057,-0.0031,-0.3141,0.0896,1017,-0.266186440677966
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 16:44:49.005583,"dk",0.0909,1000,-0.0014,-7e-04,-0.0745,0.0896,1017,-0.063135593220339
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 16:44:49.005583,"fd",0.0909,1000,-0.0014,-7e-04,-0.0745,0.0896,1017,-0.063135593220339
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 16:44:49.005583,"br",0.1538,550,-0.0474,-0.028,-2.8003,0.1065,839,-2.37313559322034
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 16:44:49.005583,"csr",0.1481,575,-0.05,-0.0294,-2.937,0.0981,919,-2.48898305084746
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 16:44:49.005583,"dk",0.1333,650,-0.0352,-0.0203,-2.0321,0.0981,919,-1.7221186440678
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 16:44:49.005583,"fd",0.1538,550,-0.0557,-0.0329,-3.2935,0.0981,919,-2.79110169491525
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 16:44:49.005583,"br",0.1,900,-0.0136,-0.0076,-0.7567,0.0864,1058,-0.641271186440678
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 16:44:49.005583,"csr",0.0952,950,-0.0104,-0.0057,-0.5731,0.0849,1078,-0.485677966101695
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 16:44:49.005583,"dk",0.0909,1000,-0.006,-0.0033,-0.3323,0.0849,1078,-0.281610169491525
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 16:44:49.005583,"fd",0.0909,1000,-0.006,-0.0033,-0.3323,0.0849,1078,-0.281610169491525
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 16:44:49.005583,"br",0.2,400,-0.0486,-0.0304,-3.0384,0.1514,561,-2.57491525423729
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 16:44:49.005583,"csr",0.2,400,-0.034,-0.0213,-2.1277,0.166,503,-1.80313559322034
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 16:44:49.005583,"dk",0.1905,425,-0.0245,-0.0151,-1.5144,0.166,503,-1.28338983050847
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 16:44:49.005583,"fd",0.2041,390,-0.0381,-0.024,-2.395,0.166,503,-2.02966101694915
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 16:44:49.005583,"br",0.0769,1200,-0.0263,-0.0142,-1.4248,0.0506,1876,-1.20745762711864
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 16:44:49.005583,"csr",0.0909,1000,-0.0454,-0.025,-2.495,0.0455,2096,-2.11440677966102
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 16:44:49.005583,"dk",0.0909,1000,-0.0454,-0.025,-2.495,0.0455,2096,-2.11440677966102
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 16:44:49.005583,"fd",0.0833,1100,-0.0378,-0.0206,-2.0612,0.0455,2096,-1.74677966101695
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 16:44:49.005583,"br",0.0909,1000,-0.0089,-0.0049,-0.4897,0.082,1119,-0.415
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 16:44:49.005583,"csr",0.0909,1000,-0.0122,-0.0067,-0.6684,0.0788,1170,-0.566440677966102
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 16:44:49.005583,"dk",0.0909,1000,-0.0122,-0.0067,-0.6684,0.0788,1170,-0.566440677966102
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 16:44:49.005583,"fd",0.0909,1000,-0.0122,-0.0067,-0.6684,0.0788,1170,-0.566440677966102
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 16:44:49.005583,"br",0.0769,1200,0.0221,0.012,1.1979,0.099,910,1.01516949152542
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 16:44:49.005583,"csr",0.0769,1200,0.0148,0.008,0.8007,0.0917,990,0.678559322033898
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 16:44:49.005583,"dk",0.0667,1400,0.025,0.0134,1.3414,0.0917,990,1.13677966101695
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 16:44:49.005583,"fd",0.0769,1200,0.0148,0.008,0.8007,0.0917,990,0.678559322033898
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 16:44:49.005583,"br",0.1818,450,-0.0536,-0.0327,-3.2745,0.1282,680,-2.775
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 16:44:49.005583,"csr",0.1818,450,-0.0475,-0.029,-2.9044,0.1343,645,-2.46135593220339
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 16:44:49.005583,"dk",0.1739,475,-0.0396,-0.024,-2.3981,0.1343,645,-2.03228813559322
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 16:44:49.005583,"fd",0.1724,480,-0.0381,-0.023,-2.3032,0.1343,645,-1.95186440677966
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 16:44:49.005583,"br",0.125,700,-0.0137,-0.0078,-0.7812,0.1113,798,-0.662033898305085
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 16:44:49.005583,"csr",0.1333,650,-0.0237,-0.0137,-1.3683,0.1096,812,-1.15957627118644
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 16:44:49.005583,"dk",0.1333,650,-0.0237,-0.0137,-1.3683,0.1096,812,-1.15957627118644
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 16:44:49.005583,"fd",0.1176,750,-0.008,-0.0046,-0.4551,0.1096,812,-0.385677966101695
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 16:44:49.005583,"br",0.0909,1000,-0.044,-0.0242,-2.4224,0.0469,2034,-2.0528813559322
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 16:44:49.005583,"csr",0.0833,1100,-0.0416,-0.0227,-2.2688,0.0417,2296,-1.92271186440678
