"game_date","game","shot_type","shot_game","run_timestamp_utc","site","prob_model","line_model","prob","line","edge","kelly","units","units_standardized"
2026-05-23,"PDX @ TOR","two point field goal","PDX @ TOR two point field goal",2026-05-23 16:51:21.68151,"dk",0.7321,-273,0.7222,-260,0.0099,0.0178,0.8891,0.694609375
2026-05-23,"LAS @ LVA","two point field goal","LAS @ LVA two point field goal",2026-05-23 16:51:21.68151,"dk",0.7549,-308,0.7959,-390,-0.041,-0.1005,-5.0229,-3.924140625
2026-05-23,"MIN @ CHI","three point field goal","MIN @ CHI three point field goal",2026-05-23 17:21:21.587046,"dk",0.2084,380,0.2564,290,-0.048,-0.0323,-1.6131,-1.260234375
2026-05-23,"PDX @ TOR","three point field goal","PDX @ TOR three point field goal",2026-05-23 17:21:21.587046,"dk",0.2679,273,0.3509,185,-0.083,-0.0639,-3.1958,-2.49671875
2026-05-23,"LAS @ LVA","three point field goal","LAS @ LVA three point field goal",2026-05-23 17:21:21.587046,"dk",0.2451,308,0.2778,260,-0.0327,-0.0226,-1.1317,-0.884140625
2026-05-23,"MIN @ CHI","two point field goal","MIN @ CHI two point field goal",2026-05-23 17:21:21.587046,"dk",0.7916,-380,0.8182,-450,-0.0266,-0.0732,-3.659,-2.85859375
2026-05-23,"PDX @ TOR","two point field goal","PDX @ TOR two point field goal",2026-05-23 17:21:21.587046,"dk",0.7321,-273,0.7222,-260,0.0099,0.0178,0.8891,0.694609375
2026-05-23,"LAS @ LVA","two point field goal","LAS @ LVA two point field goal",2026-05-23 17:21:21.587046,"dk",0.7549,-308,0.7959,-390,-0.041,-0.1005,-5.0229,-3.924140625
2026-05-23,"PDX @ TOR","three point field goal","PDX @ TOR three point field goal",2026-05-23 17:51:21.586681,"dk",0.2679,273,0.3509,185,-0.083,-0.0639,-3.1958,-2.49671875
2026-05-23,"LAS @ LVA","three point field goal","LAS @ LVA three point field goal",2026-05-23 17:51:21.586681,"dk",0.2451,308,0.2778,260,-0.0327,-0.0226,-1.1317,-0.884140625
2026-05-23,"PDX @ TOR","two point field goal","PDX @ TOR two point field goal",2026-05-23 17:51:21.586681,"dk",0.7321,-273,0.7222,-260,0.0099,0.0178,0.8891,0.694609375
2026-05-23,"LAS @ LVA","two point field goal","LAS @ LVA two point field goal",2026-05-23 17:51:21.586681,"dk",0.7549,-308,0.7959,-390,-0.041,-0.1005,-5.0229,-3.924140625
2026-05-23,"PDX @ TOR","three point field goal","PDX @ TOR three point field goal",2026-05-23 18:21:20.880144,"dk",0.2679,273,0.3509,185,-0.083,-0.0639,-3.1958,-2.49671875
2026-05-23,"LAS @ LVA","three point field goal","LAS @ LVA three point field goal",2026-05-23 18:21:20.880144,"dk",0.2451,308,0.2778,260,-0.0327,-0.0226,-1.1317,-0.884140625
2026-05-23,"PDX @ TOR","two point field goal","PDX @ TOR two point field goal",2026-05-23 18:21:20.880144,"dk",0.7321,-273,0.7222,-260,0.0099,0.0178,0.8891,0.694609375
2026-05-23,"LAS @ LVA","two point field goal","LAS @ LVA two point field goal",2026-05-23 18:21:20.880144,"dk",0.7549,-308,0.7959,-390,-0.041,-0.1005,-5.0229,-3.924140625
2026-05-23,"PDX @ TOR","three point field goal","PDX @ TOR three point field goal",2026-05-23 18:51:21.616464,"dk",0.2679,273,0.3509,185,-0.083,-0.0639,-3.1958,-2.49671875
