"game_date","game","player_id","player_name","team_abbreviation","shot_type","shot_player","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-06-05,"DAL @ LAS","204365","Erica Wheeler","LAS","three point field goal","Erica Wheeler three point field goal",2026-06-05 15:51:23.701712,"dk",0.0526,1800,0.001,5e-04,0.0547,0.0537,1763,0.0396376811594203
2026-06-05,"DAL @ LAS","204365","Erica Wheeler","LAS","two point field goal","Erica Wheeler two point field goal",2026-06-05 15:51:23.701712,"dk",0.1,900,0.0159,0.0088,0.8832,0.1159,763,0.64
2026-06-05,"PHX @ PDX","1629484","Megan Gustafson","PDX","three point field goal","Megan Gustafson three point field goal",2026-06-05 15:51:23.701712,"dk",0.0526,1800,0.0018,0.001,0.0971,0.0545,1736,0.0703623188405797
2026-06-05,"PHX @ PDX","1629484","Megan Gustafson","PDX","two point field goal","Megan Gustafson two point field goal",2026-06-05 15:51:23.701712,"dk",0.125,700,0.0025,0.0014,0.1445,0.1275,684,0.104710144927536
2026-06-05,"PHX @ PDX","1629524","Bridget Carleton","PDX","three point field goal","Bridget Carleton three point field goal",2026-06-05 15:51:23.701712,"dk",0.0909,1000,-0.0282,-0.0155,-1.5504,0.0627,1494,-1.12347826086957
2026-06-05,"PHX @ PDX","1629524","Bridget Carleton","PDX","two point field goal","Bridget Carleton two point field goal",2026-06-05 15:51:23.701712,"dk",0.1333,650,-0.0177,-0.0102,-1.0186,0.1157,764,-0.738115942028986
2026-06-05,"PHX @ PDX","1630442","Natasha Mack","PHX","three point field goal","Natasha Mack three point field goal",2026-06-05 15:51:23.701712,"dk",0.0132,7500,0.0209,0.0106,1.0586,0.0341,2837,0.767101449275362
2026-06-05,"PHX @ PDX","1630442","Natasha Mack","PHX","two point field goal","Natasha Mack two point field goal",2026-06-05 15:51:23.701712,"dk",0.2381,320,-0.0673,-0.0442,-4.416,0.1708,485,-3.2
2026-06-05,"PHX @ PDX","1631083","Emily Engstler","PDX","three point field goal","Emily Engstler three point field goal",2026-06-05 15:51:23.701712,"dk",0.1053,850,-0.0372,-0.0208,-2.0793,0.0681,1369,-1.50673913043478
2026-06-05,"PHX @ PDX","1631083","Emily Engstler","PDX","two point field goal","Emily Engstler two point field goal",2026-06-05 15:51:23.701712,"dk",0.1538,550,-0.0116,-0.0069,-0.6872,0.1422,603,-0.497971014492754
2026-06-05,"PHX @ PDX","1642296","Nyadiew Puoch","PDX","three point field goal","Nyadiew Puoch three point field goal",2026-06-05 15:51:23.701712,"dk",0.0556,1700,-0.0105,-0.0055,-0.5535,0.0451,2117,-0.401086956521739
2026-06-05,"PHX @ PDX","1642296","Nyadiew Puoch","PDX","two point field goal","Nyadiew Puoch two point field goal",2026-06-05 15:51:23.701712,"dk",0.1429,600,0.0027,0.0015,0.1549,0.1455,587,0.112246376811594
2026-06-05,"PHX @ PDX","1642304","Carla Leite","PDX","three point field goal","Carla Leite three point field goal",2026-06-05 15:51:23.701712,"dk",0.0625,1500,-0.0021,-0.0011,-0.1102,0.0604,1555,-0.0798550724637681
2026-06-05,"PHX @ PDX","1642304","Carla Leite","PDX","two point field goal","Carla Leite two point field goal",2026-06-05 15:51:23.701712,"dk",0.2985,235,-0.1227,-0.0875,-8.7474,0.1758,469,-6.33869565217391
2026-06-05,"PHX @ PDX","1642777","Monique Akoa Makani","PHX","three point field goal","Monique Akoa Makani three point field goal",2026-06-05 15:51:23.701712,"dk",0.0833,1100,-0.0287,-0.0157,-1.5669,0.0546,1731,-1.1354347826087
2026-06-05,"PHX @ PDX","1642777","Monique Akoa Makani","PHX","two point field goal","Monique Akoa Makani two point field goal",2026-06-05 15:51:23.701712,"dk",0.1111,800,0.0209,0.0117,1.1733,0.132,658,0.850217391304348
